,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
4647,Perbacco - Vini e Cucina,Cannara,35.0,35.0,EUR,['Regional Cuisine'],12.5831366,42.9952602,35.0,37.016000000000005,37.016000000000005,37.016000000000005,Medium,Medium,Medium,Italy,Regional Cuisine
4648,Impero,Sizzano,25.0,65.0,EUR,['Regional Cuisine'],8.43808,45.57613,45.0,26.44,68.744,47.592000000000006,Medium,High,Medium,Italy,Regional Cuisine
4649,Vite,Coriano,41.0,78.0,EUR,"['Cuisine from Romagna', 'Market Cuisine']",12.54202,43.986595,59.5,43.3616,82.4928,62.927200000000006,High,High,High,Italy,Cuisine from Romagna
4650,La Piazzetta,Montevecchia,34.0,40.0,EUR,['Lombardian'],9.3752374,45.7057228,37.0,35.958400000000005,42.304,39.13120000000001,Medium,Medium,Medium,Italy,Lombardian
4651,Vögele,Bolzano,30.0,70.0,EUR,"['Regional Cuisine', 'Traditional Cuisine']",11.3524552,46.4991536,50.0,31.728,74.03200000000001,52.88,Medium,High,Medium,Italy,Regional Cuisine
4652,Il Tempio del Gusto,Spoleto,38.0,50.0,EUR,"['Modern Cuisine', 'Umbrian']",12.7369924,42.7333583,44.0,40.1888,52.88,46.534400000000005,Medium,Medium,Medium,Italy,Modern Cuisine
4653,Osteria de Börg,Rimini,53.0,53.0,EUR,"['Regional Cuisine', 'Cuisine from Romagna']",12.5634582,44.0648372,53.0,56.052800000000005,56.052800000000005,56.052800000000005,High,Medium,High,Italy,Regional Cuisine
4654,La Cucoma,San Pancrazio,40.0,60.0,EUR,"['Seafood', 'Seasonal Cuisine']",12.0786464,44.3563305,50.0,42.304,63.456,52.88,High,Medium,Medium,Italy,Seafood
4655,Hostaria Viola,Castiglione delle Stiviere,46.0,46.0,EUR,"['Mantuan', 'Lombardian']",10.5092241,45.3801999,46.0,48.64960000000001,48.64960000000001,48.64960000000001,High,Medium,Medium,Italy,Mantuan
4656,Trattoria Flora,Ragone,21.0,29.0,EUR,['Regional Cuisine'],12.088254,44.353622,25.0,22.209600000000002,30.670400000000004,26.44,Medium,Medium,Low,Italy,Regional Cuisine
4657,CUCINA.eat,Cagliari,20.0,35.0,EUR,['Market Cuisine'],9.1223668,39.2202729,27.5,21.152,37.016000000000005,29.084000000000003,Low,Medium,Low,Italy,Market Cuisine
4658,Josto,Cagliari,48.0,55.0,EUR,"['Modern Cuisine', 'Sardinian']",9.1103353,39.2165191,51.5,50.76480000000001,58.168000000000006,54.46640000000001,High,Medium,High,Italy,Modern Cuisine
4659,Trattoria da Probo,Bagnolo in Piano,40.0,40.0,EUR,"['Emilian', 'Classic Cuisine']",10.6762816,44.7792987,40.0,42.304,42.304,42.304,High,Medium,Medium,Italy,Emilian
4660,Podere San Faustino,Fidenza,45.0,45.0,EUR,['Emilian'],10.0340833,44.8734471,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Emilian
4661,Dei Cantoni,Longiano,45.0,45.0,EUR,['Regional Cuisine'],12.3230214,44.0717345,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Regional Cuisine
4662,Il Casolare dei Segreti,San Lorenzo,45.0,45.0,EUR,['Cuisine from the Marches'],13.2535306,43.315418,45.0,47.592000000000006,47.592000000000006,47.592000000000006,High,Medium,Medium,Italy,Cuisine from the Marches
4663,Al Dragone,Vieste,65.0,65.0,EUR,['Regional Cuisine'],16.1810822,41.8817611,65.0,68.744,68.744,68.744,High,High,High,Italy,Regional Cuisine
